Name,Behavior,Top Speed,Body,Natural Habitat,Lifestyle
Narwhal,,6.839695,"This animal has skin.Its body can be black, white, blue and grey.",This animal's natural habitat is marine environments.,It has a group lifestyle.
Natterjack,,,"This animal's skin is permeable.Its body can be cream, yellow, green and brown.",This animal's natural habitat is sandy pieces of land.,
Nautilus,They can be characterized as solitary.Their aggression level is low.,,,This animal's natural habitat is deep water.,It has a nocturnal lifestyle.
Neanderthal,,,"This animal's skin is smooth.Its body can be black, white, olive, brown and tan.",This animal's natural habitat is cold steppes and warmer forests.,It has a group lifestyle.
Neapolitan Mastiff,,,"This animal has hair.Its body can be brindle, black, black-brown, tawny and blue.",,
Nebelung,,,,,
Needlefish,,61.15492,"This animal has scales.Its body can be silver, green, white and blue.","This animal's natural habitat is bays, inlets and rivers.",
Nelore Cattle,They usually live in herds. Their temperament can be characterized as docile.Their aggression level is low.,,This animal has skin.Its body can be white.,,
Neon Tetra,,,This animal has scales.Its body can be multi-colored.,,It has a diurnal lifestyle.
Neptune Grouper,,,"This animal has scales.Its body can be orange, yellow and red.",This animal's natural habitat is deep ocean.,
Netherland Dwarf Rabbit,They can be characterized as social and sociable. Their temperament can be characterized as erratic and friendly.Their aggression level is medium.,,This animal has hair.Its body can be multi-colored.,,It has a crepuscular lifestyle.
New Hampshire Red Chicken,They usually live in flocks.Their aggression level is medium.,,This animal has feathers.Its body can be red and light-brown.,,It has a diurnal lifestyle.
Newfoundland,,,,,
Newfypoo,,,"This animal has hair.Its body can be black, white, brown and grey.",,
Newt,,48.2802,"This animal has scales.Its body can be black, yellow, green, red, orange, brown and grey.",This animal's natural habitat is temperate forests and river banks.,It has a solitary lifestyle.
Nguni Cattle,,,This animal has skin.Its body can be multi-colored.,"This animal's natural habitat is south africa, mozambique, zimbabwe and swaziland.",It has a diurnal and herd lifestyle.
Nicobar Pigeon,,149.66862,"This animal has feathers.Its body can be green, white, golden, blue and grey.",This animal's natural habitat is lowland forests and mangrove forests.,
Nigerian Goat,,,"This animal has hair.Its body can be gold, black, white, red, brown and cream.",This animal's natural habitat is farmland.,
Night Adder,,,,,
Night Heron,,,,This animal's natural habitat is in trees or in reed beds on the ground.,It has a nocturnal lifestyle.
Night Snake,,,"This animal has scales.Its body can be dark, brown and grey.","This animal's natural habitat is desert, meadow, rocky area, or forest and tropical or temperate climate.",
Nightingale,,28.96812,This animal has feathers.Its body can be tan and brown.,This animal's natural habitat is open forests and thickets.,It has a solitary lifestyle.
Nightjar,,,"This animal has feathers.Its body can be black, white, brown and grey.",This animal's natural habitat is open country with some vegetation.,It has a crepuscular and nocturnal lifestyle.
Nile Crocodile,,35.40548,"This animal has scales.Its body can be dark, olive and brown.","This animal's natural habitat is mangrove swamps, rivers and freshwater marshes.",
Nile Perch,,,"This animal has scales.Its body can be silver, green and blue.","This animal's natural habitat is lakes, streams, ponds, rivers and marshes.",
Nilgai,,46.67086,"This animal has hair.Its body can be yellow, light-brown, blue, brown and grey.",This animal's natural habitat is dry areas such as prairies and scrub forest.,
No See Ums,,,This animal has an exoskeleton.Its body can be grey.,,
Norfolk Terrier,,,,,
Norrbottenspets,,,"This animal has fur.Its body can be yellow, red, white and brown.",,It has a diurnal lifestyle.
North American Black Bear,,48.2802,"This animal has fur.Its body can be tan, brown, black and dark.",This animal's natural habitat is forest and woodland.,It has a nocturnal lifestyle.
Northern Alligator Lizard,,,"This animal has scales.Its body can be black, brown and grey.",,
Northern Bobwhite,,,"This animal has feathers.Its body can be black, white and brown.",This animal's natural habitat is on the ground and low vegetation.,
Northern Cardinal,,59.54558,"This animal has feathers.Its body can be olive, red and brown.","This animal's natural habitat is wetlands, shrublands, gardens and woodlands.",
Northern Flicker,They usually live in pairs or flocks and can be characterized as solitary.Their aggression level is low.,,"This animal has feathers.Its body can be fawn, black, red and brown.",,
Northern Fur Seal,,22.53076,"This animal has fur.Its body can be chestnut, brown and grey.",This animal's natural habitat is open ocean and rocky or sandy beaches.,
Northern Harrier 2,,40.2335,"This animal has feathers.Its body can be black, white, brown and grey.",This animal's natural habitat is undisturbed wetlands and grasslands.,It has a diurnal lifestyle.
Northern Inuit Dog,,,"This animal has hair.Its body can be black, white and grey.",,
Northern Jacana,,,"This animal has feathers.Its body can be brown, black, yellow and dark.","This animal's natural habitat is coastal areas in marshes, swamps, ponds and and lake margins.",It has a diurnal lifestyle.
Northern Parula,,,"This animal has feathers.Its body can be yellow, green, white, blue, brown and grey.",This animal's natural habitat is mature forests with hanging canopy.,It has a diurnal lifestyle.
Northern Pintail,,74.02964,,This animal's natural habitat is on the ground.,
Northern Potoo,,,"This animal has feathers.Its body can be cream, black, brown and grey.","This animal's natural habitat is wet, dry forests and mangroves.",It has a nocturnal lifestyle.
Northern Screamer,,,"This animal has feathers.Its body can be black, white, red and grey.",This animal's natural habitat is wetlands in lowland tropical forests.,It has a diurnal lifestyle.
Northern Water Snake,,,"This animal has scales.Its body can be black, black-brown, tan, grey-brown and grey.",,
Norway Rat,,,,,
Norwegian Buhund,,,"This animal has hair.Its body can be black, blonde and red.",,
Norwegian Elkhound,,,"This animal has hair.Its body can be silver, black, white and grey.",,
Norwegian Forest,,,"This animal has hair.Its body can be gold, white, red, blue, brown, cream and silver.",,
Norwegian Lundehund,,,"This animal has hair.Its body can be black, yellow, white, red, brown, tan and grey.",,
Norwichterrier,,,,,
Nose Horned Viper,,,"This animal has scales.Its body can be brown, black, dark and grey.","This animal's natural habitat is shrublands, the edges of forests and and rocky hillsides.",
Nova Scotia Duck Tolling Retriever,,,This animal has hair.Its body can be golden and red.,,
Nubian Goat,,,"This animal has hair.Its body can be tan, chestnut, black and white.",,
Nudibranch,,4.506151999999999,"This animal's skin is smooth.Its body can be yellow, green, red, purple, blue and pink.",This animal's natural habitat is saltwater and brackish water.,
Numbat,,24.1401,"This animal has fur.Its body can be black, white, red, brown, tan and grey.",This animal's natural habitat is eucalyptus woodland and grassland.,It has a sociable lifestyle.
Nuralagus,They usually live in pairs and can be characterized as semi-social.Their aggression level is low.,,,,
Nurse Shark,,40.2335,"This animal's skin is smooth.Its body can be black, white, brown and grey.",This animal's natural habitat is warm waters and tropical coastal regions.,It has a solitary lifestyle.
Nut Weevil,They can be characterized as solitary.Their aggression level is low.,,"This animal has scales.Its body can be white, light-brown, cream, brown and tan.","This animal's natural habitat is woodlands, forests and and orchards.",It has a solitary lifestyle.
Nuthatch,They usually live in colonial nests or pairs.Their aggression level is high.,,"This animal has feathers.Its body can be black, white, red, blue, brown and grey.",This animal's natural habitat is cavities in trees or rocks.,"It has a pair, diurnal and colony lifestyle."
Nutria,They usually live in colonial nests or colonies and can be characterized as social and territorial. Their temperament can be characterized as aggressive.Their aggression level is high.,,,"This animal's natural habitat is wetlands, marshes, riverbanks, ponds and lakes.","It has a crepuscular, nocturnal, diurnal, season and colony lifestyle."
Nyala,,57.93624,"This animal has hair.Its body can be yellow, white and brown.",This animal's natural habitat is dry savannas and woodland near fresh water.,
Oak Toad,,,,"This animal's natural habitat is pine forests, sandy flatwoods and and oak scrub.",
Oarfish,,,This animal's skin is smooth.Its body can be silver.,This animal's natural habitat is deep ocean.,
Ocean Perch,They usually live in schools.Their aggression level is medium.,,This animal has scales.Its body can be red.,,It has a nocturnal lifestyle.
Ocean Pout,,,,This animal's natural habitat is rocky or sandy substrates.,
Ocean Whitefish,They can be characterized as solitary.Their aggression level is medium.,,"This animal has scales.Its body can be yellow, green, white, blue and brown.",This animal's natural habitat is rocky reefs and kelp beds.,It has a diurnal lifestyle.
Oceanic Whitetip Shark,They can be characterized as solitary.Their aggression level is medium.,,This animal's skin is leather.Its body can be white and grey.,,
